student_id,gender,school_id,class_id
fb83ce6666d23b7d174e806d3206373d,Male,f951f7f1d76f6b50f9cd656146b155cd,96dfa9e282eb664c6c4b28e85b2537ad
dfe365f5bf6a0786bf70bec4c960fc64,Female,dd7ad751bd524eea5945e5f36b5e4284,50aaee7e2caf1ca89e063670dec62a39
8e108e860b1ffd09dfb1cd5c04228164,Male,n.a.,n.a.
aa4c5074aca9bdebb49f796083fb7757,Female,0df3db05d39e3a596425941a93d312e2,65a6c21259ee3854f0f434bf000e2c20
95e3171984b7e875e326475af62bd68d,Male,8e0ce46c2b0c8961fa11af2c4c42b454,9e3a095446d534ca32d2076f11c4e757
2bf8df5e809453899eab1879caac56dd,Female,29cab634512866776ec7bfc6f6ecc3f6,74934c82616a9fb2aa07b8c3a3f11d85
139500f93fff9334c2d6fe275d0d36dc,Female,adee7e008cb1842d07a75642caf90198,fe39e9679fcbfdbfe8ffab9e22ae615b
56723f03c31577c17cc4c2eaf0ba95f9,Male,58216f0040a993ef837fd3e31adb8c5e,2432c6eb332747af7684ed6bfa74573f
643d7ddf5e5564dd63ecb0a22341a3f5,Male,bf95edb953d70e8336505acfe792d400,bea9567359aca2561aa6d6bca273fdbd
974de31a82f31ad34883568ed28fed67,Male,8e0ce46c2b0c8961fa11af2c4c42b454,6529c088ad653b6c40fbe7755dafbbaa
069846b056e2c7dc8ad06b43b5fe8c92,Male,f951f7f1d76f6b50f9cd656146b155cd,03ac4f48bd001d763179d00d4bcbacaa
fe1a3b7dbc2efc8927acd859e3fe7fd5,Male,adee7e008cb1842d07a75642caf90198,e6136a3bc31eb1f62cd7e4f27e0c6826
cd8d58738fa38b1affccb89c47d1222d,Female,01031d7b852f92f96eeee2e9e8044857,5a416040361e80ca82d76e9ddeba3248
32ffb43e2aad4a54b35c785ee7921fb2,Female,a2efb5a43b7a6ff7a1d260d32444992b,ac86bc1bb172b253d4160bcca5d657a5
342ea9e74a1f1403b8fbfd72f59c0de9,Female,a2efb5a43b7a6ff7a1d260d32444992b,ac86bc1bb172b253d4160bcca5d657a5
af1068e8ff0823da85fbaaa42d220951,Female,01031d7b852f92f96eeee2e9e8044857,5a416040361e80ca82d76e9ddeba3248
76f511efe8f4e1787aa5a538d2fd4846,Female,58216f0040a993ef837fd3e31adb8c5e,cb1648127df2e402e3685a7944fd1a44
8bc6cd6357c4a34c23ff48b801399eff,Male,29cab634512866776ec7bfc6f6ecc3f6,bffd1cdc0d5fd0f41a3e0d4558290cbc
4b97b8281871682109be2dbe99747daa,Female,0f0b086f065dc21835a65c518bc0d836,b6dc1797e4e15563ad64293eda15d613
df02f4beb55cc3a16cc366f59fcc2c8c,Male,85b6c6724f7a8453cdee93ae20c66740,98bd08e3e27ad3081a1d4666a3854dee
00ad006d0bcf06158f49fb0580abd957,Male,38f843bf29980d828969a608b44d5683,15cb2a9b0ccb907f6da0489d107bf41f
3d982d390ab6b9552761728bbf23b3d8,Male,da6f8fe33109606ea8d8481619972c72,84056c8a14f4fab78b98fb9319eb7a24
d52ccd6b023415fa6c2c2d4413adf500,Male,6b91eba8f56493472aa8998964529e72,4b66c164aac238bfd140a5c28a244f30
2437949576b51d5f20888e067216a954,Male,8e0ce46c2b0c8961fa11af2c4c42b454,9e3a095446d534ca32d2076f11c4e757
41702fd697bc27ab600aa214cd0c4ba0,Female,29cab634512866776ec7bfc6f6ecc3f6,51aea0d9ed20828d9466fdfbf67cf27b
6efe418aeed3ac2fa2416d6fdbf764e6,Male,0df3db05d39e3a596425941a93d312e2,65a6c21259ee3854f0f434bf000e2c20
6a08fc3b2b8be43152d689fba20d2d8a,Female,58216f0040a993ef837fd3e31adb8c5e,b6e8bd44f7ad4f0ff20df3aa61f65949
2704f4ccb00fbc7c94a14ff5d51c268b,Male,bce96cb356e58dd61bb1ed4b514d6db6,d3c02ef4200e94dcfefdf2f3742804c2
55a97d99f2132a3c0295725c8c7a8148,Male,bce96cb356e58dd61bb1ed4b514d6db6,a482b140241e8ff4df0b9297d32256af
76d60f5cba37d0a6ebd2ec802ad7b03d,Male,n.a.,n.a.
19cb70f8a755c40f628dc552745b2fee,Male,dd7ad751bd524eea5945e5f36b5e4284,4131ab17e2f3e0ed32541878892c82b4
17652e1b5b30fd86754cd9531971c7e7,Female,f951f7f1d76f6b50f9cd656146b155cd,deffe79209e31ffd8ee66cbcfda9f674
08c8d5dfe6692ef43abb5a39f3daa17b,Male,29cab634512866776ec7bfc6f6ecc3f6,301c6b40db733922ed70bf66a99af491
0c95cb66cbe37d838e5a15237f098768,Male,998c0311b8bd90659c6ef23ea2cbb358,cac1e19f3329671639d7f5b9275eac99
c944270468cd6c6b9c46886ce2d98819,Female,dd7ad751bd524eea5945e5f36b5e4284,50aaee7e2caf1ca89e063670dec62a39
bc693aa9dcd6c30d21d93bbf81fd4cbb,Female,f951f7f1d76f6b50f9cd656146b155cd,ee944c4b35bfbb1403c6410942bbc0c5
8d413a35e5862135b39d668738a61d3f,Female,dd7ad751bd524eea5945e5f36b5e4284,9a43af979c2306a600c848e327696e9c
e6783ce875b027c09a3e310ff6ed2bc0,Male,f951f7f1d76f6b50f9cd656146b155cd,ee944c4b35bfbb1403c6410942bbc0c5
8c961c8ccb119c80fb1bee4dc707ac1c,Male,adee7e008cb1842d07a75642caf90198,a3d936ad1e6aa8f506da5f6ad759fe2f
6a6dc897a2f620ff4f4ca77107cfab83,Female,88445c37421f474f34cbf9acba87ebe8,1120348704fb0394c782680d56878eaf
b45c34914ba18b2c76552f569f063f11,Male,8e0ce46c2b0c8961fa11af2c4c42b454,9e3a095446d534ca32d2076f11c4e757
a8385312e03b16393b0d25e41a87e113,Male,0f0b086f065dc21835a65c518bc0d836,a73b63f8a63c7f75617ac3b56a75a4d6
44353c732676da5bbd5e11d9ee27bee1,Female,01031d7b852f92f96eeee2e9e8044857,c2f40bdc4b619ac0d9e311ae7b856cf0
a74401e200ade4aec7b2f5ba60cf3e3e,Male,998c0311b8bd90659c6ef23ea2cbb358,73f6aba440d09a56acf9437d9cf3b559
4f227316e94086c855b7c17b842cbe5b,Female,38f843bf29980d828969a608b44d5683,bdea5d16f955e4b8c414ac05ae827954
356bcf56c19114fa486c0ce196c2c308,Female,58216f0040a993ef837fd3e31adb8c5e,2432c6eb332747af7684ed6bfa74573f
ee57aaa40fb59988b08358c5bf9f73b6,Female,998c0311b8bd90659c6ef23ea2cbb358,6998b1a8c02c173dfae2a1a2ce938e5d
ec578b19d9c230c7726ea429e0d2b724,Male,da6f8fe33109606ea8d8481619972c72,09918d11ed867ddd589c36dbe9981364
b1843601c6ca9df8113b7eee9c7b4029,Female,0f0b086f065dc21835a65c518bc0d836,057fef0ae856b62dfba4660d0f6d5cbe
f0fe63a3346021782a46997f590baef6,Female,29cab634512866776ec7bfc6f6ecc3f6,51aea0d9ed20828d9466fdfbf67cf27b
